symbol,company,title,description,published_at,url,sentiment,ingested_at
AAPL,AAPL,Amazon expands into new markets - AAPL,Financial news about AAPL company performance and market trends.,2025-06-22T23:02:52.571160,https://example.com/news/AAPL_0,0.855,2025-06-24T23:02:52.571218
AAPL,AAPL,Amazon expands into new markets - AAPL,Financial news about AAPL company performance and market trends.,2025-05-27T23:02:52.571160,https://example.com/news/AAPL_1,-0.419,2025-06-24T23:02:52.571235
AAPL,AAPL,JPMorgan beats profit expectations - AAPL,Financial news about AAPL company performance and market trends.,2025-06-08T23:02:52.571160,https://example.com/news/AAPL_2,0.601,2025-06-24T23:02:52.571245
AAPL,AAPL,UnitedHealth expands coverage - AAPL,Financial news about AAPL company performance and market trends.,2025-05-25T23:02:52.571160,https://example.com/news/AAPL_3,-0.255,2025-06-24T23:02:52.571254
AAPL,AAPL,Meta launches new social media features - AAPL,Financial news about AAPL company performance and market trends.,2025-06-19T23:02:52.571160,https://example.com/news/AAPL_4,0.232,2025-06-24T23:02:52.571262
AAPL,AAPL,Home Depot sales increase - AAPL,Financial news about AAPL company performance and market trends.,2025-06-03T23:02:52.571160,https://example.com/news/AAPL_5,-0.276,2025-06-24T23:02:52.571270
AAPL,AAPL,Microsoft cloud services grow rapidly - AAPL,Financial news about AAPL company performance and market trends.,2025-06-16T23:02:52.571160,https://example.com/news/AAPL_6,0.726,2025-06-24T23:02:52.571279
AAPL,AAPL,UnitedHealth expands coverage - AAPL,Financial news about AAPL company performance and market trends.,2025-06-11T23:02:52.571160,https://example.com/news/AAPL_7,0.496,2025-06-24T23:02:52.571286
AAPL,AAPL,Johnson & Johnson vaccine approved - AAPL,Financial news about AAPL company performance and market trends.,2025-06-07T23:02:52.571160,https://example.com/news/AAPL_8,-0.1,2025-06-24T23:02:52.571302
AAPL,AAPL,Mastercard partners with fintech - AAPL,Financial news about AAPL company performance and market trends.,2025-06-21T23:02:52.571160,https://example.com/news/AAPL_9,-0.465,2025-06-24T23:02:52.571344
GOOGL,GOOGL,Procter & Gamble raises prices - GOOGL,Financial news about GOOGL company performance and market trends.,2025-05-25T23:02:52.571160,https://example.com/news/GOOGL_0,-0.08,2025-06-24T23:02:52.571375
GOOGL,GOOGL,Mastercard partners with fintech - GOOGL,Financial news about GOOGL company performance and market trends.,2025-06-08T23:02:52.571160,https://example.com/news/GOOGL_1,-0.897,2025-06-24T23:02:52.571394
GOOGL,GOOGL,Home Depot sales increase - GOOGL,Financial news about GOOGL company performance and market trends.,2025-06-14T23:02:52.571160,https://example.com/news/GOOGL_2,0.079,2025-06-24T23:02:52.571403
GOOGL,GOOGL,Bank of America reports strong quarter - GOOGL,Financial news about GOOGL company performance and market trends.,2025-06-22T23:02:52.571160,https://example.com/news/GOOGL_3,-0.613,2025-06-24T23:02:52.571412
GOOGL,GOOGL,Johnson & Johnson vaccine approved - GOOGL,Financial news about GOOGL company performance and market trends.,2025-05-25T23:02:52.571160,https://example.com/news/GOOGL_4,-0.728,2025-06-24T23:02:52.571419
GOOGL,GOOGL,Apple reports strong quarterly earnings - GOOGL,Financial news about GOOGL company performance and market trends.,2025-06-20T23:02:52.571160,https://example.com/news/GOOGL_5,-0.1,2025-06-24T23:02:52.571427
GOOGL,GOOGL,Mastercard partners with fintech - GOOGL,Financial news about GOOGL company performance and market trends.,2025-06-07T23:02:52.571160,https://example.com/news/GOOGL_6,-0.027,2025-06-24T23:02:52.571439
GOOGL,GOOGL,Amazon expands into new markets - GOOGL,Financial news about GOOGL company performance and market trends.,2025-05-29T23:02:52.571160,https://example.com/news/GOOGL_7,0.663,2025-06-24T23:02:52.571447
GOOGL,GOOGL,JPMorgan beats profit expectations - GOOGL,Financial news about GOOGL company performance and market trends.,2025-06-22T23:02:52.571160,https://example.com/news/GOOGL_8,-0.57,2025-06-24T23:02:52.571454
GOOGL,GOOGL,Apple reports strong quarterly earnings - GOOGL,Financial news about GOOGL company performance and market trends.,2025-06-15T23:02:52.571160,https://example.com/news/GOOGL_9,-0.356,2025-06-24T23:02:52.571461
MSFT,MSFT,Bank of America reports strong quarter - MSFT,Financial news about MSFT company performance and market trends.,2025-06-15T23:02:52.571160,https://example.com/news/MSFT_0,-0.33,2025-06-24T23:02:52.571469
